,Name,Adesioni,Equity,Settore,description,status,percent_raised,date,base_url
0,,,,,,,,2020-02-26 15:51:19,https://www.backtowork24.com/equity-crowdfunding?gclid=EAIaIQobChMI-6SMr9K_5wIVRIXVCh1aKAa3EAAYAiAAEgIPvfD_BwE
1,Elements Works,40.750€,1.4%,UT,"
                                        netH2O: la boa intelligente, modulare ed economica che rivoluziona il settore dell’analisi ambientale remota.                                    ","
33 giorni rimanenti                                            ",82%,2020-02-26 15:51:19,https://www.backtowork24.com/equity-crowdfunding?gclid=EAIaIQobChMI-6SMr9K_5wIVRIXVCh1aKAa3EAAYAiAAEgIPvfD_BwE
2,Etciuu,116.500€,5.5%,IBM,"
                                        L'app che fornisce agli influencer un CRM per conoscere e gestire al meglio la propria fanbase.                                    ","
29 giorni rimanenti                                            ",146%,2020-02-26 15:51:19,https://www.backtowork24.com/equity-crowdfunding?gclid=EAIaIQobChMI-6SMr9K_5wIVRIXVCh1aKAa3EAAYAiAAEgIPvfD_BwE
3,RD24,54.500€,3.51%,RT,"
                                        Il primo marketplace in Italia dedicato al noleggio di arredi per eventi, home-staging, negozi, uffici ed accoglienza.                                    ","
16 giorni rimanenti                                            ",109%,2020-02-26 15:51:19,https://www.backtowork24.com/equity-crowdfunding?gclid=EAIaIQobChMI-6SMr9K_5wIVRIXVCh1aKAa3EAAYAiAAEgIPvfD_BwE
4,Fin-Novia,6.065.000€,98.38%,IN,"
                                        Fin-Novia Srl è un veicolo societario dedicato alla raccolta di capitale per l’investimento in e-Novia SpA                                    ","
10 giorni rimanenti                                            ",607%,2020-02-26 15:51:19,https://www.backtowork24.com/equity-crowdfunding?gclid=EAIaIQobChMI-6SMr9K_5wIVRIXVCh1aKAa3EAAYAiAAEgIPvfD_BwE
5,Peptitech,43.000€,1.56%,BT,"
                                        Glauconext: l'innovativa soluzione farmaceutica per la cura del glaucoma e la protezione dell'occhio.                                    ","
3 giorni rimanenti                                            ",43%,2020-02-26 15:51:19,https://www.backtowork24.com/equity-crowdfunding?gclid=EAIaIQobChMI-6SMr9K_5wIVRIXVCh1aKAa3EAAYAiAAEgIPvfD_BwE
6,Remembrane,,,,"
                                        Refeed®: la soluzione innovativa che incrementa le performance delle colture cellulari.                                    ",,"
                                                Questa campagna sarà disponibile a breve
                                            ",2020-02-26 15:51:19,https://www.backtowork24.com/equity-crowdfunding?gclid=EAIaIQobChMI-6SMr9K_5wIVRIXVCh1aKAa3EAAYAiAAEgIPvfD_BwE
7,THERANOSTI,,,,"
                                        NEUTRON BRUSH: l’innovativo device per la radioterapia intra-operatoria per la cura dei tumori                                     ",,"
                                                Questa campagna sarà disponibile a breve
                                            ",2020-02-26 15:51:19,https://www.backtowork24.com/equity-crowdfunding?gclid=EAIaIQobChMI-6SMr9K_5wIVRIXVCh1aKAa3EAAYAiAAEgIPvfD_BwE
8,BEYOND THE BOX,,,,"
                                        Il servizio che offre a  manager e imprenditori accesso veloce, semplice e confidenziale a competenze professionali                                    ",,"
                                                Questa campagna sarà disponibile a breve
                                            ",2020-02-26 15:51:19,https://www.backtowork24.com/equity-crowdfunding?gclid=EAIaIQobChMI-6SMr9K_5wIVRIXVCh1aKAa3EAAYAiAAEgIPvfD_BwE
9,OIP START,89.750€,6.7%,FT,"
                                        Italian Wine Caveau: investire in vini italiani d’annata pregiati, in grado di aumentare il proprio valore nel tempo.                                     ","
Conclusa                                            ",180%,2020-02-26 15:51:19,https://www.backtowork24.com/equity-crowdfunding?gclid=EAIaIQobChMI-6SMr9K_5wIVRIXVCh1aKAa3EAAYAiAAEgIPvfD_BwE
10,Bermat,105.000€,3.88%,AM,"
                                        Con Bermat provi l’emozione di creare la tua auto sportiva per divertirti e distinguerti in pista e su strada.                                    ","
Conclusa                                            ",210%,2020-02-26 15:51:19,https://www.backtowork24.com/equity-crowdfunding?gclid=EAIaIQobChMI-6SMr9K_5wIVRIXVCh1aKAa3EAAYAiAAEgIPvfD_BwE
11,THE GO TO MARKET COMPANY,188.500€,13.1%,HRT,"
                                        Il network dei senior sales professionals incontra le più innovative aziende IT e digital.                                    ","
Conclusa                                            ",377%,2020-02-26 15:51:19,https://www.backtowork24.com/equity-crowdfunding?gclid=EAIaIQobChMI-6SMr9K_5wIVRIXVCh1aKAa3EAAYAiAAEgIPvfD_BwE
12,,142.380€,50%,,"
                                        IVH SPACE – la nuova realtà multifunzionale di IVH Group nel pieno centro di Milano                                    ","
Conclusa                                            ",178%,2020-02-26 15:51:19,https://www.backtowork24.com/equity-crowdfunding?gclid=EAIaIQobChMI-6SMr9K_5wIVRIXVCh1aKAa3EAAYAiAAEgIPvfD_BwE
13,Hurba,102.600€,2.01%,GE,"
                                        Gli scooter elettrici con i tempi di ricarica più veloci al mondo: la batteria estraibile si ricarica come un cellulare.                                    ","
Conclusa                                            ",205%,2020-02-26 15:51:19,https://www.backtowork24.com/equity-crowdfunding?gclid=EAIaIQobChMI-6SMr9K_5wIVRIXVCh1aKAa3EAAYAiAAEgIPvfD_BwE
14,DEALALALA,0€,1.3%,ICT,"
                                        L’app innovativa a supporto del commercio locale, per trasformare ogni cliente in un cliente “affezionato”.                                    ","
Conclusa                                            ",0%,2020-02-26 15:51:19,https://www.backtowork24.com/equity-crowdfunding?gclid=EAIaIQobChMI-6SMr9K_5wIVRIXVCh1aKAa3EAAYAiAAEgIPvfD_BwE
15,Home Beer,94.271€,7.89%,HD,"
                                        La prima app dedicata alla birra artigianale con consegna a domicilio direttamente dalla birreria più vicina.                                    ","
Conclusa                                            ",118%,2020-02-26 15:51:19,https://www.backtowork24.com/equity-crowdfunding?gclid=EAIaIQobChMI-6SMr9K_5wIVRIXVCh1aKAa3EAAYAiAAEgIPvfD_BwE
16,Nicefiller,269.000€,3.81%,PA,"
                                        Cronogard®: sviluppiamo nuove soluzioni per il futuro degli imballaggi alimentari                                      ","
Conclusa                                            ",269%,2020-02-26 15:51:19,https://www.backtowork24.com/equity-crowdfunding?gclid=EAIaIQobChMI-6SMr9K_5wIVRIXVCh1aKAa3EAAYAiAAEgIPvfD_BwE
17,VillageCare,74.800€,5.65%,SE,"
                                        Il primo sistema nazionale online di aiuto alle famiglie con genitori anziani fragili.                                     ","
Conclusa                                            ",125%,2020-02-26 15:51:19,https://www.backtowork24.com/equity-crowdfunding?gclid=EAIaIQobChMI-6SMr9K_5wIVRIXVCh1aKAa3EAAYAiAAEgIPvfD_BwE
18,NCG,3.500€,4%,FT,"
                                        NCG è una startup innovativa che opera nella ricerca e sviluppo di nuove tecnologie per il settore alimentare                                    ","
Conclusa                                            ",4%,2020-02-26 15:51:19,https://www.backtowork24.com/equity-crowdfunding?gclid=EAIaIQobChMI-6SMr9K_5wIVRIXVCh1aKAa3EAAYAiAAEgIPvfD_BwE
19,Microcredito di Impresa,1.761.658€,50.04%,FT,"
                                        Microcredito di Impresa Spa: microfinanza e tecnologia per far ripartire l’economia                                    ","
Conclusa                                            ",516%,2020-02-26 15:51:19,https://www.backtowork24.com/equity-crowdfunding?gclid=EAIaIQobChMI-6SMr9K_5wIVRIXVCh1aKAa3EAAYAiAAEgIPvfD_BwE
20,Stem Sel,191.850€,3.37%,BT,"
                                        è pronta a portare sul mercato Celector®, il dispositivo che ha inventato e sviluppato per separare, visualizzare e raccogliere le “migliori” cellule staminali viventi                                    ","
Conclusa                                            ",384%,2020-02-26 15:51:19,https://www.backtowork24.com/equity-crowdfunding?gclid=EAIaIQobChMI-6SMr9K_5wIVRIXVCh1aKAa3EAAYAiAAEgIPvfD_BwE
21,Nanomnia,210.750€,5.01%,BT,"
                                        Bio e nanotecnologie per migliorare l’efficacia dei principi attivi nei sistemi biologici.                                    ","
Conclusa                                            ",211%,2020-02-26 15:51:19,https://www.backtowork24.com/equity-crowdfunding?gclid=EAIaIQobChMI-6SMr9K_5wIVRIXVCh1aKAa3EAAYAiAAEgIPvfD_BwE
22,Dianax,13.000€,2.78%,HC,"
                                        LA DIAGNOSTICA IN PALMO DI MANO | Dalla goccia di sangue al risultato in 5 minuti                                    ","
Conclusa                                            ",13%,2020-02-26 15:51:19,https://www.backtowork24.com/equity-crowdfunding?gclid=EAIaIQobChMI-6SMr9K_5wIVRIXVCh1aKAa3EAAYAiAAEgIPvfD_BwE
23,U-earth,368.050€,1.21%,ES,"
                                        Breathe the Future, con la rivoluzionaria  tecnologia biotech per la depurazione dell’aria                                    ","
Conclusa                                            ",368%,2020-02-26 15:51:19,https://www.backtowork24.com/equity-crowdfunding?gclid=EAIaIQobChMI-6SMr9K_5wIVRIXVCh1aKAa3EAAYAiAAEgIPvfD_BwE
24,Gopib,320.058€,1.58%,IT,"
                                        Una piattaforma etica e di valore, per conoscere e farsi conoscere, proteggendo informazioni e privacy                                    ","
Conclusa                                            ",320%,2020-02-26 15:51:19,https://www.backtowork24.com/equity-crowdfunding?gclid=EAIaIQobChMI-6SMr9K_5wIVRIXVCh1aKAa3EAAYAiAAEgIPvfD_BwE
25,Orteat,72.070€,5.67%,EC,"
                                        La migliore frutta biologica di stagione, dalla campagna direttamente a casa tua                                    ","
Conclusa                                            ",144%,2020-02-26 15:51:19,https://www.backtowork24.com/equity-crowdfunding?gclid=EAIaIQobChMI-6SMr9K_5wIVRIXVCh1aKAa3EAAYAiAAEgIPvfD_BwE
26,SolarFertigation,122.080€,4.56%,AT,"
                                        Il software per fertilizzare e irrigare i campi tramite energia solare, Internet of Things e Intelligenza Artificiale                                    ","
Conclusa                                            ",174%,2020-02-26 15:51:19,https://www.backtowork24.com/equity-crowdfunding?gclid=EAIaIQobChMI-6SMr9K_5wIVRIXVCh1aKAa3EAAYAiAAEgIPvfD_BwE
27,Ilovecomm,57.500€,2.79%,MKP,"
                                        Il primo marketplace che ti permette di prenotare un prodotto al miglior prezzo nei negozi della tua città                                    ","
Conclusa                                            ",115%,2020-02-26 15:51:19,https://www.backtowork24.com/equity-crowdfunding?gclid=EAIaIQobChMI-6SMr9K_5wIVRIXVCh1aKAa3EAAYAiAAEgIPvfD_BwE
28,Improovo,64.250€,7.43%,CS,"
                                        La piattaforma di crowdsourcing dedicata al mondo della formazione aziendale                                    ","
Conclusa                                            ",129%,2020-02-26 15:51:19,https://www.backtowork24.com/equity-crowdfunding?gclid=EAIaIQobChMI-6SMr9K_5wIVRIXVCh1aKAa3EAAYAiAAEgIPvfD_BwE
29,Amavido Gmbh,115.970€,3.78%,OTA,"
                                        Aggrega e promuove l’offerta ricettiva di borghi, paesi e aree rurali Italiane nel mercato turistico internazionale                                    ","
Conclusa                                            ",155%,2020-02-26 15:51:19,https://www.backtowork24.com/equity-crowdfunding?gclid=EAIaIQobChMI-6SMr9K_5wIVRIXVCh1aKAa3EAAYAiAAEgIPvfD_BwE
30,Autoo,75.000€,4.48%,AM,"
                                        Autoo, fidarsi online! Start-Up Innovativa per la vendita online di auto usate e km zero controllate e garantite                                    ","
Conclusa                                            ",100%,2020-02-26 15:51:19,https://www.backtowork24.com/equity-crowdfunding?gclid=EAIaIQobChMI-6SMr9K_5wIVRIXVCh1aKAa3EAAYAiAAEgIPvfD_BwE
31,Movecoin,27.550€,1.32%,GE,"
                                         La prima app in Italia che ti ricompensa per ogni km che percorri con moto ecologico.                                     ","
Conclusa                                            ",28%,2020-02-26 15:51:19,https://www.backtowork24.com/equity-crowdfunding?gclid=EAIaIQobChMI-6SMr9K_5wIVRIXVCh1aKAa3EAAYAiAAEgIPvfD_BwE
32,Teethan,176.621€,2.55%,DH,"
                                        La tecnologia digitale più avanzata al mondo che misura il bilanciamento dell’occlusione dentale                                    ","
Conclusa                                            ",177%,2020-02-26 15:51:19,https://www.backtowork24.com/equity-crowdfunding?gclid=EAIaIQobChMI-6SMr9K_5wIVRIXVCh1aKAa3EAAYAiAAEgIPvfD_BwE
33,Stem Sel,329.635€,5.65%,BT,"
                                        ha inventato e brevettato Celector®, dispositivo che separa, visualizza e raccoglie cellule staminali viventi                                    ","
Conclusa                                            ",330%,2020-02-26 15:51:19,https://www.backtowork24.com/equity-crowdfunding?gclid=EAIaIQobChMI-6SMr9K_5wIVRIXVCh1aKAa3EAAYAiAAEgIPvfD_BwE
34,Biovecblok,554.751€,9.99%,BT,"
                                        La rivoluzione biotech nella lotta alle zanzare, attraverso strumenti innovativi e ad impatto ambientale zero.                                    ","
Conclusa                                            ",555%,2020-02-26 15:51:19,https://www.backtowork24.com/equity-crowdfunding?gclid=EAIaIQobChMI-6SMr9K_5wIVRIXVCh1aKAa3EAAYAiAAEgIPvfD_BwE
35,1177,9.500€,5.8%,FT,"
                                        The Glam-Tech Experience: l’evoluzione del fashion retail passa da IoT e omni-canalità.                                    ","
Conclusa                                            ",10%,2020-02-26 15:51:19,https://www.backtowork24.com/equity-crowdfunding?gclid=EAIaIQobChMI-6SMr9K_5wIVRIXVCh1aKAa3EAAYAiAAEgIPvfD_BwE
36,Start e Partners,640.136€,27.03%,IN,"
                                        La Startup che investe in startup: holding operativa, promuove e investe nel capitale di Pmi e Start up innovative                                     ","
Conclusa                                            ",640%,2020-02-26 15:51:19,https://www.backtowork24.com/equity-crowdfunding?gclid=EAIaIQobChMI-6SMr9K_5wIVRIXVCh1aKAa3EAAYAiAAEgIPvfD_BwE
37,Comehome,338.919€,14.63%,En,"
                                        La community che condivide esperienze e passioni all’interno del luogo più accogliente che esista…la casa!                                    ","
Conclusa                                            ",678%,2020-02-26 15:51:19,https://www.backtowork24.com/equity-crowdfunding?gclid=EAIaIQobChMI-6SMr9K_5wIVRIXVCh1aKAa3EAAYAiAAEgIPvfD_BwE
38,EXEPT,50.050€,1.39%,ST,"
                                        Start-up innovativa che produce telai per biciclette in carbonio monoscocca, dalle geometrie personalizzabili                                    ","
Conclusa                                            ",100%,2020-02-26 15:51:19,https://www.backtowork24.com/equity-crowdfunding?gclid=EAIaIQobChMI-6SMr9K_5wIVRIXVCh1aKAa3EAAYAiAAEgIPvfD_BwE
39,Cloud Pathology Group,175.850€,5.54%,DH,"
                                        L’unica società in Italia di digital pathology porta innovazione e digitalizzazione nella diagnostica                                    ","
Conclusa                                            ",176%,2020-02-26 15:51:19,https://www.backtowork24.com/equity-crowdfunding?gclid=EAIaIQobChMI-6SMr9K_5wIVRIXVCh1aKAa3EAAYAiAAEgIPvfD_BwE
40,,110.750€,45%,RE,"
                                        Struttura extra-alberghiera di alto standing, situata nel centro storico di Roma                                     ","
Conclusa                                            ",130%,2020-02-26 15:51:19,https://www.backtowork24.com/equity-crowdfunding?gclid=EAIaIQobChMI-6SMr9K_5wIVRIXVCh1aKAa3EAAYAiAAEgIPvfD_BwE
41,SkyAccounting,120.000€,3.15%,SG,"
                                        La prima soluzione gestionale cloud, in condivisione dati tra azienda e commercialista                                    ","
Conclusa                                            ",100%,2020-02-26 15:51:19,https://www.backtowork24.com/equity-crowdfunding?gclid=EAIaIQobChMI-6SMr9K_5wIVRIXVCh1aKAa3EAAYAiAAEgIPvfD_BwE
42,Autentico,102.435€,6.39%,IOT,"
                                        Soluzioni Iot innovative contro la contraffazione del fashion e food made in Italy                                     ","
Conclusa                                            ",171%,2020-02-26 15:51:19,https://www.backtowork24.com/equity-crowdfunding?gclid=EAIaIQobChMI-6SMr9K_5wIVRIXVCh1aKAa3EAAYAiAAEgIPvfD_BwE
43,NTERILIZER,384.100€,13.32%,BM,"
                                        Il sistema brevettato per la sterilizzazione dell’azoto liquido per la criogenia                                    ","
Conclusa                                            ",384%,2020-02-26 15:51:19,https://www.backtowork24.com/equity-crowdfunding?gclid=EAIaIQobChMI-6SMr9K_5wIVRIXVCh1aKAa3EAAYAiAAEgIPvfD_BwE
